ilce_adi;mahalle_adi;talep_edilen_tarimsal_egitimler
Yunak;KARAYAYLA;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;KILLAR;TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ, BİOTEKNİK MÜCADELE VE İYİ TARIM UYGULAMALARI
Yunak;KURTUŞAĞI;HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;KUYUBAŞI;HAYVANCILIK
Yunak;MEŞELİK;MODERN MEYVECİLİK, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;ODABAŞI;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;ORTAKIŞLA;MODERN SULAMA SİSTEMLERİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;ÖZYAYLA;KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;SERTLER;MODERN SULAMA SİSTEMLERİ, KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;SEVİNÇ;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;SIRAM;MODERN SULAMA SİSTEMLERİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;SİNANLI;MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK
Yunak;YAVAŞLI;TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;YEŞİLOBA;MODERN SULAMA SİSTEMLERİ, MODERN MEYVECİLİK, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;YEŞİLYAYLA;MODERN SULAMA SİSTEMLERİ, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
Yunak;YIĞAR;MODERN MEYVECİLİK, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
Yunak;SARAY;ARI YETİŞTİRİCİLİĞİ, BİOTEKNİK MÜCADELE VE İYİ TARIM UYGULAMALARI
;;
